id,nombre,descripcion,orden,activo
frances,Camino Francés (Sarria–Santiago),"Últimos 115 km del Camino Francés. Tramo principal de la agencia y zona de los centros Freshlegs.",1,sí
portugues,Camino Portugués (Tui–Santiago),"Pendiente de documentar etapas y proveedores. Se activará cuando haya datos.",2,no
